score_phrase,game_title,platform,genre,date_released,score
Great,Critter Crunch,iPhone,Puzzle,2008,8.5
Great,NHL 13,Xbox 360,Sports,2012,8.5
Amazing,Mario Tennis Power Tour,Game Boy ,Sports,2005,9
Awful,Double Dragon: Neon,PlayStation 3,Fighting,2012,3
Good,Dr. Mario & Puzzle League,Game Boy ,Puzzle,2005,7.8
Good,Tekken Tag Tournament 2,PlayStation 3,Fighting,2012,7.5
Amazing,Puzzle Craft,iPhone,Puzzle,2012,9
